,DM hlswan if smthing is wrong,,,,,,,MINECRAFT 1.16+ RSG ANY% SUB-10 LEADERBOARD,,,,,,,,,OVERWORLD,,,,,FIRST STRUCTURE,,,,,SECOND STRUCTURE,,,,BLAZE RATES,,,,S2-E1,ALL RODS?,NETHER EXITS,OVERWORLD II,,,,,,,,,,,THEOR BLIND,NETHER SPLIT,TOTAL NETHER,TOTAL OW2,POST BLIND,STRUC2 TO FINISH,STRUC2 EX TO SH,STRONGHOLD,,,FRAMES FILLED,THE END,,,,,,,,,,,,Bastion Information,,,,Barter/Chest Loot Information,,,,,,TIMELOSS
,last updated 2/17/26,,,,,WR,PB,,,,,,,,,,TYPE,,PORTAL,NETHER,NE-S1,ENTER,TYPE,SPLIT,EXIT,S1-S2,ENTER,TYPE,SPLIT,EXIT,,DROPPED,KILLED,DECIMAL,,,,EXIT 1,TYPE,TRIANG,THROWN,BREAK,LEFT,T LOSS,REENTER,TO 2ND,DIST,EXIT 2,,,,,,,,ENTER,STRAT,SPLIT,,ENTER,STRAT,X USED,ZERO XPLOSIVES,PERCH XPLOSIVES,CG,NODE,TH,TOWER,SH,SPLIT,CREDITS,TYPE,ROUTE,CC,INFO,Obi,String,Glowst,Arrows,Pearls,Cobi,
,19,-,,🇵🇱,watermelon1708,,✔,7:30.263,7:30.682,04 Dec 2025,(U),-8027616666562891938,,Yes,https://www.youtube.com/watch?v=zaVHr65a7Uk&list=PLZ59bMb0zBUSR6W9smbN1LDkQJlGfPEUk&index=4,,BT,,2x1 Magma,1:12,0:57,2:09,Housing,1:34,3:43,0:10,3:53,Fort,1:47,5:40,5/9,5,9,0.56,--,No,2,5:13,Calc,0:13,1,0,1,1,5:26,0:37,1450,6:17,5:27,4:01,5:05,1:12,2:03,3:37,0:37,6:17,Prempt,0:22,1,6:39,Zero,5,5,,H,F Diag,85,M85,95,0:51,7:30,Housing,TOPD,5,DT,24,57,65,42,19,32,
,20,15,🇺🇸,itsnahan,,,✔,7:32.783,7:32.783,04 Jun 2025,(V),4115833317145621618,,Yes,https://www.speedrun.com/mc/runs/zqp1639m,,BT,,Lava Pool,1:31,0:10,1:41,Bridge,1:58,3:39,0:14,3:53,Fort,1:07,5:00,5/11,5,11,0.45,0:17,Yes,2,5:17,Calc,0:36,1,0,0,0,5:53,0:29,unknown,6:22,5:17,3:46,4:51,1:23,2:15,3:39,1:22,6:22,Prempt,0:18,2,6:40,Zero,6,6,,O,B Diag,85,M85,95,0:52,7:32,Bridge,SOOG,3,DT,24,101,40,32,30,30,
,21,-,,🇳🇴,skycrab1,,🗙,7:25.567,7:32.827,19 Aug 2024,(U),4927231128345776418,,Yes,https://www.youtube.com/watch?v=87ruBPBpgbg&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=57,,BT,,2x1 Magma,1:13,0:37,1:50,Bridge,1:59,3:49,0:14,4:03,Fort,0:45,4:48,6/11,6,11,0.55,0:10,Yes,2,4:58,Calc,0:19,1,0,0,0,5:17,0:45,1485,6:02,4:58,3:45,4:49,1:28,2:27,3:22,1:14,6:02,Prempt,0:24,2,6:26,Zero,6,6,,O,B Diag,76,Small Boi,90,0:59,7:25,Bridge,OLD,6,DT,20,135,72,0,35,29,
,22,-,,🇸🇰,NoFear1337,,🗙,7:29.999,7:32.999,21 Jan 2024,(U),1330456095954625394,,Yes,https://www.youtube.com/watch?v=u1WAriPLZMQ,,BT,,2x1 Magma,1:23,0:13,1:36,Housing,1:00,2:36,0:15,2:51,Fort,2:19,5:10,6/12,6,12,0.50,--,No,2,3:42,Calc,0:27,1,0,0,0,4:09,0:33,198,5:43,4:43,2:19,4:20,1:19,2:46,4:38,0:33,5:43,Prempt,0:19,1,6:02,Perch,4,,4,B58,--,--,--,--,1:27,7:29,Housing,MANH,3,--,20,56,0,0,17,8,
,23,16,🇵🇱,kazzruns,,,✔,7:33.804,7:33.804,24 Jul 2025,(V),-5890829594904468442,,Yes,https://www.speedrun.com/mc/runs/yjqo30nm,,BT,,2x1 Magma,1:13,0:14,1:27,Stables,1:39,3:06,0:09,3:15,Fort,01:46,5:01,6/8,6,8,0.75,--,No,2,4:20,Calc,0:23,2,1,1,2,4:43,1:13,2302,6:14,4:38,3:07,5:01,1:56,2:55,4:18,1:13,6:14,Prempt,0:20,2,6:34,Perch,5,,5,O,--,--,--,--,0:59,7:33,Stables,DBTRPL,7,TTD,20,72,20,33,17,13,
,24,-,,🇨🇦,Aquacorde,,🗙,7:34.421,7:34.056,03 Mar 2026,(U),6573117783169949946,,,https://www.youtube.com/watch?v=l__1dhyvdjw,,BT,✔,Lava Pool,1:01,0:16,1:17,Housing,1:24,2:41,1:04,3:45,Fort,02:20,6:05,5/12,5,12,0.42,--,No,2,4:42,Calc,0:17,1,0,0,0,4:59,0:32,333,6:37,5:48,3:41,5:36,1:02,1:46,3:49,0:32,6:37,Prempt,0:13,3,6:50,Zero,4,,,O,F Diag,88,M88,99,0:44,7:34,Housing,MANH,3,--,23,31,44,26,47,23,
,25,-,,🇺🇸,itsnahan,,🗙,7:34.447,7:34.546,19 Dec 2025,(U),-7173684177694873982,,Yes,https://www.youtube.com/watch?v=1_O9cZzkKpk,,BT,,2x1 Magma,1:24,0:34,1:58,Housing,1:45,3:43,0:04,3:47,Fort,02:09,5:56,6/7,6,7,0.86,--,No,2,5:07,Calc,0:16,1,0,0,0,5:23,0:24,unknown,6:20,5:40,3:43,4:56,1:02,1:54,3:47,0:24,6:20,Prempt,0:22,1,6:42,Zero,6,6,,O,F 1/8,--,--,92,0:52,7:34,Housing,TOPD,8,DBTRPL,35,128,49,25,26,14,
,26,17,🇦🇿,KenanKardes,,,✔,7:35.447,7:34.838,13 Sep 2024,(V),5361864572335160821,,Yes,https://www.speedrun.com/mc/runs/zx0e765z,,BT,✔,2x1 Magma,1:37,0:52,2:29,Housing,1:14,3:43,0:15,3:58,Fort,01:50,5:48,6/9,6,9,0.67,--,No,2,5:17,Calc,0:12,1,1,0,1,5:29,0:28,895,6:16,5:36,3:40,4:39,1:12,1:59,3:37,0:28,6:16,Prempt,0:32,1,6:48,Zero,4,4,,B56,F Diag,91,M91,95,0:47,7:35,Housing,MANH,3,DBTRPL,20,79,54,27,34,19,
,27,-,,🇩🇪,jason_n,,🗙,7:36.562,7:36.562,27 Dec 2025,(U),5101166286806026119,,Yes,https://www.youtube.com/watch?v=PIIJU2GwFP4&list=PLZ59bMb0zBUSR6W9smbN1LDkQJlGfPEUk&index=1,,BT,,2x1 Magma,1:20,0:32,1:52,Housing,1:39,3:31,0:03,3:34,Fort,0:26,4:00,5/6,5,6,0.83,0:23,Yes,2,4:23,HP,0:36,1,0,0,0,4:59,0:32,1611,5:31,4:23,3:03,4:11,1:36,3:13,4:02,1:31,5:31,Prempt,0:28,2,5:59,F.Zero,5,,5,O,B Diag,97,T97(F),--,1:37,7:36,Housing,MANH,3,N/A,13,52,48,35,32,24,
,28,-,,🇩🇪,jason_n,,🗙,7:38.273,7:38.273,12 Nov 2025,(U),2886416364403862215,,Yes,https://www.youtube.com/watch?v=bA3Sck4VKWw,,BT,✔,2x1 Magma,,,,,,,,,,,,,,,,0:00,,,,,0:00,,,,,,0:00,,,0:00,,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
