,DM hlswan if smthing is wrong,,,,,,,MINECRAFT 1.16+ RSG ANY% SUB-10 LEADERBOARD,,,,,,,,,OVERWORLD,,,,,FIRST STRUCTURE,,,,,SECOND STRUCTURE,,,,BLAZE RATES,,,,S2-E1,ALL RODS?,NETHER EXITS,OVERWORLD II,,,,,,,,,,,THEOR BLIND,NETHER SPLIT,TOTAL NETHER,TOTAL OW2,POST BLIND,STRUC2 TO FINISH,STRUC2 EX TO SH,STRONGHOLD,,,FRAMES FILLED,THE END,,,,,,,,,,,,Bastion Information,,,,Barter/Chest Loot Information,,,,,,TIMELOSS
,last updated 2/17/26,,,,,WR,PB,,,,,,,,,,TYPE,,PORTAL,NETHER,NE-S1,ENTER,TYPE,SPLIT,EXIT,S1-S2,ENTER,TYPE,SPLIT,EXIT,,DROPPED,KILLED,DECIMAL,,,,EXIT 1,TYPE,TRIANG,THROWN,BREAK,LEFT,T LOSS,REENTER,TO 2ND,DIST,EXIT 2,,,,,,,,ENTER,STRAT,SPLIT,,ENTER,STRAT,X USED,ZERO XPLOSIVES,PERCH XPLOSIVES,CG,NODE,TH,TOWER,SH,SPLIT,CREDITS,TYPE,ROUTE,CC,INFO,Obi,String,Glowst,Arrows,Pearls,Cobi,
,179,-,,🇳🇴,skycrab1,,🗙,8:40.888,8:40.888,08 Dec 2025,(U),unknown,,,https://www.youtube.com/watch?v=xihX3p1Fp4s&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=153,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180,-,,🇳🇴,skycrab1,,🗙,8:40.847,8:41.542,18 May 2025,(U),unknown,,,https://www.youtube.com/watch?v=xJ01M7bzZw4&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=123,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,181,-,,🇨🇦,Jay12310,,✔,8:41.613,8:41.613,31 Jan 2024,(V),-2567989600321826795,,,https://www.speedrun.com/mc/runs/z1ke12jy,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,182,-,,🇨🇦,Aquacorde,,🗙,8:42.341,8:42.341,21 Jun 2025,(U),-7609881780988686655,,,https://www.youtube.com/watch?v=MuohhSr-XiM,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,-,,🇺🇸,doogile,,🗙,8:42.117,8:42.986,28 Feb 2024,(U),5949882598636664818,,,https://www.youtube.com/watch?v=oCkkuqlQ9Po,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,184,-,,🇺🇸,doogile,,🗙,8:43.991,8:43.991,13 Jul 2024,(U),-7771537069643682878,,,https://www.youtube.com/watch?v=TZ_zdyCgG4M,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,185,-,,🇳🇴,skycrab1,,🗙,8:43.592,8:44.066,13 Jul 2025,(U),see video,,,https://www.youtube.com/watch?v=jDNFlZ8Sg58&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=132,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,186,-,,🇩🇰,Bloopy,,🗙,8:44.147,8:44.147,14 Jan 2025,(U),865156050683453436,,,https://www.youtube.com/watch?v=mCIohgnMn6Q,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,187,-,,🇸🇰,NoFear1337,,🗙,8:43.284,8:44.223,01 Jan 2024,(U),unknown,,,https://www.youtube.com/watch?v=qY2cZ8Sy2uY&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=3,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,188,-,,🇨🇦,Jay12310,,🗙,8:44.276,8:44.276,10 Nov 2025,(U),unknown,,,https://www.youtube.com/watch?v=zPHrwr8ViFs&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=6,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,189,-,,🇺🇸,doogile,,🗙,8:43.409,8:44.369,22 Mar 2024,(U),3833476757322719608,,,https://www.youtube.com/watch?v=ReityME0-V4,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,190,-,,🇳🇴,skycrab1,,🗙,8:43.341,8:44.403,08 May 2024,(U),unknown,,,https://www.youtube.com/watch?v=KxM7quLW_a0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=19,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,191,-,,🇨🇦,Aquacorde,,🗙,8:44.345,8:44.570,08 Jul 2025,(U),-1775700207608873533,,,https://www.youtube.com/watch?v=oEQpaV4i5Xo,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,192,-,,🇳🇴,skycrab1,,🗙,8:41.713,8:44.753,09 Jun 2024,(U),3601997149186064061,,,https://www.youtube.com/watch?v=ARk7_DpxA8k&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=27,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,193,-,,🇸🇰,NoFear1337,,🗙,8:44.741,8:45.020,09 Dec 2025,(U),unknown,,,https://www.youtube.com/watch?v=LrqzlWWtJ5s,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,-,,🇬🇧,Kxpow,,✔,8:39.054,8:45.890,29 May 2023,(U),-8065244563761891233,08,Yes,https://www.youtube.com/watch?v=_Wdwq60t9tg,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,195,-,,🇸🇰,NoFear1337,,✔,8:43.898,8:45.910,06 Apr 2023,(V),-7753826472617365003,06,Yes,https://www.speedrun.com/mc/run/ywv7303z,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,196,-,,🇺🇸,doogile,,✔,8:46.031,8:46.031,27 Oct 2022,(V),8426484340228880879,,,https://www.speedrun.com/mc/runs/zq95v58y,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,197,-,,🇳🇴,skycrab1,,🗙,8:45.053,8:46.049,08 Nov 2025,(U),see video,,,https://www.youtube.com/watch?v=wAckC_nZcLI&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=148,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,198,-,,🇳🇴,skycrab1,,🗙,8:46.360,8:46.475,05 Dec 2025,(U),see video,,,https://www.youtube.com/watch?v=21D0838rJEA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=151,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,-,,🇳🇴,skycrab1,,🗙,8:46.809,8:46.809,19 Dec 2025,(U),see video,,,https://www.youtube.com/watch?v=C7eIdtsV1E0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=161,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,-,,🇺🇸,doogile,,🗙,8:45.693,8:47.009,10 Jun 2023,(U),3305404777235060755,,,https://www.youtube.com/watch?v=LJc8Ue_wMxc,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,201,-,,🇳🇴,skycrab1,,🗙,8:48.708,8:48.708,20 Sep 2025,(U),see video,,,https://www.youtube.com/watch?v=QaK_cdmaPKQ&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=138,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,202,-,,🇺🇸,doogile,,🗙,8:46.578,8:47.860,20 Aug 2023,(U),4103179370625614995,,,https://www.youtube.com/watch?v=uDN8xoI81Ys,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,203,-,,🇳🇴,skycrab1,,🗙,8:47.874,8:47.874,27 Nov 2024,(U),6699117318653298892,,,https://www.youtube.com/watch?v=5ukarnI5ByU&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=99,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,204,-,,🇩🇰,Bloopy,,🗙,8:47.901,8:47.901,22 Sep 2024,(U),3928864958060769511,,,https://www.youtube.com/watch?v=aNxuLYPmOdo,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,205,52,🇨🇦,silverr,,,✔,9:46.965,8:47.927,22 Oct 2022,(V),2855607942042314683,,,https://www.speedrun.com/mc/runs/zgq688ey,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,206,-,,🇺🇸,doogile,,🗙,8:46.669,8:48.064,10 Dec 2023,(U),-842020506674052183,,,https://www.youtube.com/watch?v=lirP0lAFhMI,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,-,,🇺🇸,doogile,,🗙,8:48.089,8:48.089,23 Jul 2024,(U),-8431738247847193587,,,https://www.youtube.com/watch?v=RMvtU2KWgYM,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,208,-,,🇨🇦,NoHacsJustRoblox,,🗙,8:48.505,8:48.505,08 May 2024,(U),unknown,,,https://www.youtube.com/watch?v=5UDUfLkhEoQ,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,209,-,,🇳🇴,skycrab1,,🗙,8:48.529,8:48.529,03 Feb 2025,(U),2881897363802283355,,,https://www.youtube.com/watch?v=-3u6nTAXcUM&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=114,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,210,-,,🇳🇴,skycrab1,,🗙,8:48.873,8:48.873,10 Dec 2024,(U),2315176208545760284,,,https://www.youtube.com/watch?v=_u3kwy8rXbI&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=102,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,211,-,,🇵🇱,watermelon1708,,🗙,8:45.180,8:49.596,22 Dec 2025,(U),see video,,,https://www.youtube.com/watch?v=oDrlzG59d00,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,-,,🇳🇴,skycrab1,,🗙,8:49.936,8:49.936,08 Nov 2025,(U),see video,,,https://www.youtube.com/watch?v=5haOUDeGf-A&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=149,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,213,-,,🇺🇸,meebie,,🗙,8:48.596,8:50.051,03 Sep 2023,(U),7299498132050335302,15,Yes,https://www.youtube.com/watch?v=LMy95QFL1VM,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,-,,🇸🇰,NoFear1337,,🗙,8:50.451,8:50.501,19 Oct 2023,(U),unknown,,,https://www.youtube.com/watch?v=Wq1CcMWfAsY,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,215,-,,🇨🇦,Aquacorde,,🗙,8:50.506,8:50.506,19 Jul 2025,(U),-7616555443413747711,,,https://www.youtube.com/watch?v=68HoZv27LzI,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,216,-,,🇳🇴,skycrab1,,🗙,8:50.803,8:50.803,05 May 2025,(U),unknown,,,https://www.youtube.com/watch?v=yXdhGgJyuoQ&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=119,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,217,-,,🇳🇴,skycrab1,,🗙,8:50.545,8:51.236,10 Aug 2024,(U),-3197286302200123556,,,https://www.youtube.com/watch?v=k1eYrv60vEg&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=50,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,218,-,,🇨🇦,NoHacsJustRoblox,,🗙,8:51.843,8:52.318,01 Dec 2024,(U),unknown,,,https://www.youtube.com/watch?v=Z6z82Y5kP4k,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,219,-,,🇺🇸,doogile,,🗙,8:51.678,8:52.413,10 Dec 2023,(U),-5260994394316547335,,,https://www.youtube.com/watch?v=OW5kwKZPOzU,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,-,,🇸🇰,NoFear1337,,🗙,8:51.877,8:53.246,20 Sep 2025,(U),unknown,,,https://www.youtube.com/watch?v=AEz9SIx1tgc,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,221,-,,🇵🇱,watermelon1708,,🗙,8:52.609,8:54.133,05 Nov 2025,(U),unknown,,,https://www.youtube.com/watch?v=x_zdSf7bhIg,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,222,-,,🇳🇴,skycrab1,,🗙,8:52.230,8:52.230,11 Nov 2024,(U),-2877178576147619973,,,https://www.youtube.com/watch?v=65224Q7ZkCQ&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=92,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,223,-,,🇳🇴,skycrab1,,🗙,8:53.059,8:55.075,17 Jun 2024,(U),-1214553875519321530,,,https://www.youtube.com/watch?v=UbiUU4PS8Yg&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=34,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,224,-,,🇳🇴,skycrab1,,🗙,8:55.209,8:55.494,29 Apr 2025,(U),unknown,,,https://www.youtube.com/watch?v=Jv4hwkbrykA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=118,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,225,-,,🇺🇸,doogile,,🗙,8:56.053,8:56.053,24 Mar 2025,(U),-4743958313443045268,,,https://www.youtube.com/watch?v=MOF0Iu9SBKo,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,-,,🇸🇰,NoFear1337,,🗙,8:55.940,8:56.651,09 Sep 2024,(U),unknown,,,https://www.youtube.com/watch?v=OFKGxnx2P38&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=12,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,227,-,,🇸🇰,NoFear1337,,🗙,8:55.740,8:56.923,27 Mar 2024,(U),unknown,,,https://www.youtube.com/watch?v=NMjC1md2rGE&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=8,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,228,-,,🇨🇦,Aquacorde,,✔,8:57.720,8:57.720,25 Jul 2024,(V),3015905876303256572,,,https://www.speedrun.com/mc/runs/m3j14wdz,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,-,,🇨🇦,Aquacorde,,🗙,8:57.744,8:57.744,21 Jul 2025,(U),2089452302138806331,,,https://www.youtube.com/watch?v=4Cu-z1JTQKs,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,-,,🇳🇴,skycrab1,,🗙,8:59.293,8:59.293,11 Sep 2024,(U),-6389114711842986192,,,https://www.youtube.com/watch?v=8hzE9Hw6gAU&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=67,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,231,-,,🇳🇴,skycrab1,,🗙,8:49.409,8:49.409,28 May 2025,(U),unknown,,,https://www.youtube.com/watch?v=xyDX6i-JbRU&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=128,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,232,-,,🇩🇰,Bloopy,,🗙,8:59.432,8:59.432,16 May 2025,(U),-18983467290883032,,,https://www.youtube.com/watch?v=514JjNvEQK4,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,233,-,,🇺🇸,meebie,,🗙,8:59.573,8:59.573,19 Nov 2023,(U),-1575876630213539597,12,Yes,https://www.youtube.com/watch?v=zJnvTxa-tIw,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,234,-,,🇩🇰,Bloopy,,🗙,9:00.170,9:00.170,05 Oct 2024,(U),-5352242782529280836,,,https://www.youtube.com/watch?v=fRLq2qYkV40,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,235,-,,🇨🇦,Aquacorde,,🗙,9:00.365,9:00.365,21 Aug 2024,(U),-3831818911159801954,,,https://www.youtube.com/watch?v=3dW5m8cUe6A,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,236,-,,🇵🇱,watermelon1708,,🗙,8:59.980,9:00.400,06 Dec 2025,(U),unknown,,,https://www.youtube.com/watch?v=NKfTh40LmXo,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,237,-,,🇳🇴,skycrab1,,🗙,9:00.416,9:00.416,18 Dec 2024,(U),-2825863056396066441,,,https://www.youtube.com/watch?v=QuzaLR4dZX0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=104,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,238,-,,🇳🇴,skycrab1,,🗙,8:59.994,9:00.517,15 Aug 2024,(U),6950286062050709827,,,https://www.youtube.com/watch?v=GdrxXjooUA4&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=56,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,239,-,,🇸🇰,NoFear1337,,🗙,8:57.699,9:00.720,14 Apr 2023,(U),unknown,,,https://www.youtube.com/watch?v=HRrYCllMZvI,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,-,,🇳🇴,skycrab1,,✔,8:59.353,9:01.102,05 Nov 2023,(V),-7277035047426370667,,,https://www.speedrun.com/mc/runs/yd2e770m,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,241,-,,🇺🇸,doogile,,🗙,8:59.983,9:01.127,06 Oct 2023,(U),9195494537967252613,,,https://www.youtube.com/watch?v=lUWGWVc40zo,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,242,-,,🇩🇰,Bloopy,,🗙,9:01.143,9:01.143,18 Jan 2025,(U),-7620737076103346510,,,https://www.youtube.com/watch?v=d9vkKsLySa0,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,243,-,,🇺🇸,doogile,,🗙,9:01.449,9:01.449,25 May 2024,(U),-7536657347809840728,,,https://www.youtube.com/watch?v=fqNFbLGUKeA,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,244,-,,🇩🇰,Bloopy,,🗙,9:01.455,9:01.455,29 Jan 2025,(U),-3030095061520695931,,,https://www.youtube.com/watch?v=VGY1zOH0JTc,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,30 Dec '99,,,,,,30 Dec '99,,,30 Dec '99,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
