flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),calc(depracated),link,minutes,seconds,milliseconds,total_milliseconds,blank,blank2,current_wr,cur_wr_normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_collected,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<500,500-1000,1000-1500,1500-2000,2000+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type_2,bastion_route,chests_checked,depracated_bastion_info,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since_2,elo_weight,elo,timeloss 
🇳🇴,skycrab1,0,0,8:36.373,8:37.680,12 Jun 2024,720,(U),8302535928926204218,,,https://www.youtube.com/watch?v=RUtcNVLefnE&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=28,8,37,680,517680,,,410359,1.261529539,421494,1.228202537,-0.0005,0.6977,2.2079482,44.3150,63.5180,435.3923,3.57907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,720,0,0,
🇨🇦,sockmonkey737,0,1,8:36.752,8:37.739,14 May 2025,384,(V),-3879107049025834895,,,https://www.speedrun.com/mc/runs/z5w7nw5z,8,37,739,517739,,,410359,1.261673315,421494,1.228342515,-0.0005,0.8253,2.209630476,52.3905,63.4800,434.8799,3.58238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,rdpill,0,1,8:34.580,8:37.769,05 Nov 2024,574,(V),4338721383690060751,,,https://www.speedrun.com/mc/runs/m7nn9r0z,8,37,769,517769,,,410359,1.261746422,421494,1.22841369,-0.0005,0.7505,2.210486311,47.6280,63.4607,434.6193,3.58407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇮🇱,sagi_enderman,1,1,8:31.726,8:37.884,29 Jul 2022,1404,(V),-774874644388946464,,,https://www.speedrun.com/mc/runs/mkdld9xy,8,37,884,517884,,,410359,1.262026664,548820,0.9436317918,-0.0005,0.4956,0.4331102176,50.8205,102.5447,433.6204,3.59054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,1404,0,0,
🇺🇸,meebie,0,0,8:37.477,8:37.975,07 Aug 2023,1030,(U),1459462342630812192,,,https://www.youtube.com/watch?v=C983h_XUVjM&list=PLaTJSsRuu2Ufk7cX7bUTt9V-IJxa8wqSM&index=3,8,37,975,517975,,,410359,1.262248422,465828,1.111944752,-0.0005,0.5975,1.150878413,52.8813,88.5042,432.8300,3.59566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,0,0,
🇳🇴,skycrab1,0,0,8:38.021,8:38.021,06 May 2025,392,(U),unknown,,,https://www.youtube.com/watch?v=VTFc9umQMn8&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=120,8,38,21,518021,,,410359,1.262360518,421494,1.229011564,-0.0005,0.8220,2.217687086,52.0321,63.2984,432.4305,3.59825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,392,0.002420868788,1.532371743,
🇰🇷,dwoh,0,1,8:48.684,8:38.155,02 Feb 2025,485,(V),3434004177647168368,,,https://www.speedrun.com/mc/runs/ylp19kkm,8,38,155,518155,,,410359,1.262687062,421494,1.22932948,-0.0005,0.7847,2.221524638,49.6002,63.2120,431.2668,3.60582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇮🇸,Kind,0,1,8:37.353,8:38.527,24 Jun 2023,1074,(V),8707775504708410399,,,https://www.speedrun.com/mc/runs/znelek8z,8,38,527,518527,,,410359,1.263593585,465828,1.113129739,-0.0005,0.5845,1.158742884,51.6237,88.3213,428.0368,3.62689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇧🇷,misfitmcsr,0,1,8:38.209,8:38.728,15 Jul 2025,322,(V),2738581748136977282,,,https://www.speedrun.com/mc/runs/y9e8jwvz,8,38,728,518728,,,410359,1.2640834,410359,1.2640834,-0.0005,0.8513,2.678695735,45.4415,53.3794,426.2920,3.63832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,okshey,0,0,8:38.735,8:38.735,15 Nov 2025,199,(U),unknown,,,https://www.youtube.com/watch?v=TfnVJFvNoDY,8,38,735,518735,,,410359,1.264100458,410359,1.264100458,-0.0005,0.9053,2.678939334,48.3193,53.3744,426.2312,3.63872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,0.4547261543,242.7075198,
🇨🇦,Jay12310,0,0,8:36.088,8:38.790,24 Nov 2025,190,(U),unknown,,,https://www.youtube.com/watch?v=t3Th0f5TeHc&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=7,8,38,790,518790,,,410359,1.264234487,410359,1.264234487,-0.0005,0.9094,2.680854006,48.5017,53.3353,425.7538,3.64185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,190,0.5036367525,268.6163206,
🇹🇿,Kxpow,0,0,8:37.259,8:38.835,02 Mar 2024,822,(U),8469828128004769896,,,https://www.youtube.com/watch?v=VU43_XgypsM,8,38,835,518835,,,410359,1.264344147,421494,1.230942789,-0.0005,0.6630,2.241090796,41.6173,62.7724,425.3633,3.64442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,0,8:39.098,8:39.098,12 May 2025,386,(U),1497324270395087566,,,https://www.youtube.com/watch?v=QcZ_tKesd74&list=PLjW0OIc7zcEcqLcQwe9V6NfJUy0AUDomQ&index=14,8,39,98,519098,,,410359,1.26498505,421494,1.23156676,-0.0005,0.8245,2.248699665,51.6141,62.6019,423.0810,3.65945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,0,8:39.147,8:39.147,06 Dec 2025,178,(U),unknown,,,https://www.youtube.com/watch?v=SSESxjNH_hk&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=10,8,39,147,519147,,,410359,1.265104457,410359,1.265104457,-0.0005,0.9148,2.693311617,48.5612,53.0813,422.6558,3.66226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,178,0.5689429008,302.0024744,
🇺🇸,doogile,0,0,8:39.037,8:39.282,30 Mar 2025,429,(U),8886412600271699411,,,https://www.youtube.com/watch?v=u6qbrlizGMM,8,39,282,519282,,,410359,1.265433438,421494,1.232003303,-0.0005,0.8069,2.254036749,50.4198,62.4824,421.4846,3.67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,429,0.0003724681974,0.2327269659,
🇺🇸,Reignex,0,1,8:39.268,8:39.218,18 Sep 2022,1353,(U),Unknown,12,Yes,https://www.youtube.com/watch?v=z1feRpPuykI,8,39,218,519218,,,410359,1.265277477,517884,1.002575866,-0.0005,0.5084,0.6090855007,50.7597,99.8434,422.0398,3.66633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,0,8:39.411,8:39.411,05 Sep 2025,270,(U),-1145251015490040547,,,https://www.youtube.com/watch?v=X9g8K9tNTi8&list=PLjW0OIc7zcEcqLcQwe9V6NfJUy0AUDomQ&index=10,8,39,411,519411,,,410359,1.265747796,410359,1.265747796,-0.0005,0.8737,2.702557085,46.2137,52.8933,420.3657,3.67741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇰,Bloopy,0,0,8:39.524,8:39.524,08 Feb 2025,479,(U),-1918684009025106856,,,https://www.youtube.com/watch?v=4Ncc5fSS7fU,8,39,524,519524,,,410359,1.266023165,421494,1.232577451,-0.0005,0.7870,2.261073473,49.0511,62.3250,419.3857,3.68392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,479,0.000016865779,0.01051159901,
🇩🇪,jason_n,0,0,8:39.547,8:39.547,14 Sep 2024,626,(U),-6811725567637899791,,,https://www.youtube.com/watch?v=vO1lOV6z_rs,8,39,547,519547,,,410359,1.266079214,421494,1.232632018,-0.0005,0.7312,2.261743276,45.5642,62.3100,419.1862,3.68524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,626,0,0.00000001382579409,
🇫🇮,sadekeppi,0,0,8:39.634,8:39.634,23 Nov 2025,191,(U),unknown,,,https://www.youtube.com/watch?v=7l0U6MbHxfo,8,39,634,519634,,,410359,1.266291223,410359,1.266291223,-0.0005,0.9089,2.710388702,47.9313,52.7344,418.4318,3.69026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,0.4981833485,262.7140535,
🇳🇴,skycrab1,0,0,8:39.547,8:39.779,30 May 2025,368,(U),unknown,,,https://www.youtube.com/watch?v=NFMHJvhQb_w&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=129,8,39,779,519779,,,410359,1.266644572,421494,1.233182442,-0.0005,0.8319,2.268509512,51.7123,62.1589,417.1746,3.69863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,368,0.006849338505,4.257476512,
🇫🇮,AndrewCrow,0,0,8:38.402,8:39.880,12 Aug 2025,294,(U),unknown,,,https://www.youtube.com/watch?v=psOz3n2aTy0,8,39,880,519880,,,410359,1.266890698,410359,1.266890698,-0.0005,0.8633,2.719051489,45.3739,52.5590,416.2991,3.70447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,0.07877036748,41.40090548,
🇵🇱,watermelon1708,0,0,8:39.647,8:40.008,29 Nov 2025,185,(U),unknown,,,https://www.youtube.com/watch?v=t10Ij-c_N2s,8,40,8,520008,,,410359,1.26720262,410359,1.26720262,-0.0005,0.9116,2.723568693,47.8321,52.4677,415.1898,3.71189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,185,0.53091014,278.5561202,
🇩🇪,jason_n,0,0,8:40.038,8:40.038,21 Aug 2024,650,(U),8973323366010797251,,,https://www.youtube.com/watch?v=wtVTAwET8cA,8,40,38,520038,,,410359,1.267275727,421494,1.233796922,-0.0005,0.7225,2.276084635,44.7895,61.9900,414.9298,3.71363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,650,0,0.0000000007336846733,
🇬🇧,priffie,0,0,8:40.155,8:40.155,11 Nov 2024,568,(U),-2522481865350924050,,,https://www.youtube.com/watch?v=ChKDeopLupA,8,40,155,520155,,,410359,1.267560843,421494,1.234074506,-0.0005,0.7528,2.279514032,46.6065,61.9136,413.9160,3.72043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇮🇹,nonshochiama,0,1,8:38.077,8:40.586,04 Jan 2024,880,(V),8591525407209828717,,,https://www.speedrun.com/mc/runs/m73l1key,8,40,586,520586,,,410359,1.268611143,421494,1.23509706,-0.0005,0.6440,2.292187104,39.6930,61.6317,410.1831,3.74555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,watermelon1708,0,0,8:39.979,8:40.694,15 Nov 2025,199,(U),unknown,,,https://www.youtube.com/watch?v=EKR-bvraczI,8,40,694,520694,,,410359,1.268874327,410359,1.268874327,-0.0005,0.9053,2.747892062,47.0549,51.9777,409.2482,3.75187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,199,0.4547261543,236.3560673,
🇺🇸,doogile,0,0,8:39.729,8:40.725,09 Dec 2023,906,(U),-5412281049038794009,,,https://www.youtube.com/watch?v=Jv2jo4YQLrw,8,40,725,520725,,,410359,1.268949871,446254,1.166880297,-0.0005,0.6357,1.572835187,49.8704,78.4474,408.9798,3.75369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,906,0,0,
🇺🇸,doogile,0,0,8:40.768,8:40.768,16 Jul 2024,686,(U),8198000986967179551,,,https://www.youtube.com/watch?v=Ce_A0Sa97Hg,8,40,768,520768,,,410359,1.269054657,421494,1.235528857,-0.0005,0.7096,2.297557547,43.6516,61.5124,408.6077,3.75621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,686,0,0,
🇳🇴,skycrab1,0,0,8:40.888,8:40.888,08 Dec 2025,176,(U),unknown,,,https://www.youtube.com/watch?v=xihX3p1Fp4s&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=153,8,40,888,520888,,,410359,1.269347084,410359,1.269347084,-0.0005,0.9158,2.754805641,47.4721,51.8389,407.5692,3.76325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,176,0.5797388126,300.5304869,
🇹🇷,Ancoboy,0,1,8:39.744,8:40.941,15 Dec 2023,900,(U),-2037700049700041325,,,https://www.youtube.com/watch?v=rIQn66zPVwM,8,40,941,520941,,,410359,1.269476239,446254,1.167364326,-0.0005,0.6376,1.577117102,49.9546,78.3443,407.1106,3.76636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,megelimc,0,1,8:35.954,8:41.307,26 Jun 2024,706,(V),5074648903421430178,,,https://www.speedrun.com/mc/runs/zq8l7d1z,8,41,307,521307,,,410359,1.270368141,421494,1.236807641,-0.0005,0.7026,2.313528525,42.9685,61.1584,403.9452,3.78793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:40.847,8:41.542,18 May 2025,380,(U),unknown,,,https://www.youtube.com/watch?v=xJ01M7bzZw4&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=123,8,41,542,521542,,,410359,1.27094081,421494,1.237365182,-0.0005,0.8270,2.320522834,50.4476,61.0037,401.9141,3.80183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,380,0.004139418334,2.525200403,
🇨🇦,Jay12310,0,1,8:41.613,8:41.613,31 Jan 2024,853,(V),-2567989600321826795,,,https://www.speedrun.com/mc/runs/z1ke12jy,8,41,613,521613,,,410359,1.27111383,421494,1.23753363,-0.0005,0.6528,2.322639731,39.7921,60.9570,401.3006,3.80604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,853,0,0,
🇹🇿,Kxpow,0,0,8:40.524,8:41.729,26 Jun 2024,706,(U),-2265204569977030713,,,https://www.youtube.com/watch?v=HS2BLQxAvHQ,8,41,729,521729,,,410359,1.271396509,421494,1.237808842,-0.0005,0.7026,2.326102045,42.7733,60.8805,400.2986,3.81293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,0,8:42.023,8:42.023,13 Feb 2026,109,(U),3688076343083871671,,,https://www.youtube.com/watch?v=FDhUOxV4hnA&list=PLjW0OIc7zcEcqLcQwe9V6NfJUy0AUDomQ&index=4,8,42,23,522023,,,410359,1.272112955,410359,1.272112955,-0.0005,0.9470,2.795564522,48.3195,51.0260,397.7601,3.83043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇬🇧,biased,0,1,8:39.479,8:42.046,21 Sep 2024,619,(V),-1851988790638545849,,,https://www.speedrun.com/mc/runs/z0qx9l9m,8,42,46,522046,,,410359,1.272169003,421494,1.238560929,-0.0005,0.7338,2.335587302,44.5214,60.6713,397.5616,3.83181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,8:42.341,8:42.341,21 Jun 2025,346,(U),-7609881780988686655,,,https://www.youtube.com/watch?v=MuohhSr-XiM,8,42,341,522341,,,410359,1.272887886,410359,1.272887886,-0.0005,0.8411,2.807079922,42.7280,50.7979,395.0166,3.84945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,346,0.01588827918,8.070910419,
🇹🇿,Kxpow,0,0,9:40.539,8:42.547,14 Jul 2024,688,(U),-3078327032604818062,,,https://www.youtube.com/watch?v=6oDlGw6KjR8,8,42,547,522547,,,410359,1.273389885,421494,1.239749558,-0.0005,0.7089,2.350648835,42.7767,60.3399,393.2406,3.86182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,0,8:42.117,8:42.986,28 Feb 2024,825,(U),5949882598636664818,,,https://www.youtube.com/watch?v=oCkkuqlQ9Po,8,42,986,522986,,,410359,1.27445968,421494,1.240791091,-0.0005,0.6620,2.36391788,39.7519,60.0488,389.4591,3.88829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,825,0,0,
🇵🇱,Mixray,0,1,8:38.475,8:43.007,24 Dec 2023,891,(V),-9159005293217893627,,,https://www.speedrun.com/mc/run/y2kweg9y,8,43,7,523007,,,410359,1.274510855,446254,1.171993977,-0.0005,0.6405,1.618614918,49.5402,77.3457,389.2783,3.88956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,AndrewCrow,0,0,8:42.102,8:43.518,17 Jul 2025,320,(U),unknown,,,https://www.youtube.com/watch?v=uT5c_6-u4Ns,8,43,518,523518,,,410359,1.275756106,410359,1.275756106,-0.0005,0.8521,2.850069024,42.5665,49.9522,384.8831,3.92059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,0.03774886009,18.8563974,
🇹🇿,Kxpow,0,0,8:40.779,8:43.672,26 Jan 2024,858,(U),-8996510102519287588,,,https://www.youtube.com/watch?v=KF9Pal7AXdU,8,43,672,523672,,,410359,1.276131387,421494,1.242418635,-0.0005,0.6512,2.384786903,38.8042,59.5924,383.5599,3.92998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,0,8:43.709,8:43.709,25 Mar 2026,69,(U),7506275670866580323,,,https://www.youtube.com/watch?v=llpWdAgohkU&list=PLjW0OIc7zcEcqLcQwe9V6NfJUy0AUDomQ&index=1,8,43,709,523709,,,410359,1.276221552,410359,1.276221552,-0.0005,0.9661,2.85710005,48.1255,49.8148,383.2421,3.93224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,0,8:43.991,8:43.991,13 Jul 2024,689,(U),-7771537069643682878,,,https://www.youtube.com/watch?v=TZ_zdyCgG4M,8,43,991,523991,,,410359,1.276908756,421494,1.243175466,-0.0005,0.7086,2.39454733,42.0749,59.3796,380.8212,3.94950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,689,0,0,
🇳🇴,skycrab1,0,0,8:43.592,8:44.066,13 Jul 2025,324,(U),see video,,,https://www.youtube.com/watch?v=jDNFlZ8Sg58&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=132,8,44,66,524066,,,410359,1.277091522,410359,1.277091522,-0.0005,0.8504,2.870283133,42.1461,49.5579,380.1777,3.95411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.0333324994,16.51888014,
🇩🇰,Bloopy,0,0,8:44.147,8:44.147,14 Jan 2025,504,(U),865156050683453436,,,https://www.youtube.com/watch?v=mCIohgnMn6Q,8,44,147,524147,,,410359,1.27728891,421494,1.243545578,-0.0005,0.7772,2.399333452,46.0715,59.2755,379.4829,3.95908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.000002754137036,0.001632527643,
🇸🇰,NoFear1337,0,0,8:43.284,8:44.223,01 Jan 2024,883,(U),unknown,,,https://www.youtube.com/watch?v=qY2cZ8Sy2uY&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=3,8,44,223,524223,,,410359,1.277474114,446254,1.174718882,-0.0005,0.6431,1.643503615,49.3540,76.7473,378.8312,3.96376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,883,0,0,
🇨🇦,Jay12310,0,0,8:44.276,8:44.276,10 Nov 2025,204,(U),unknown,,,https://www.youtube.com/watch?v=zPHrwr8ViFs&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=6,8,44,276,524276,,,410359,1.277603269,410359,1.277603269,-0.0005,0.9030,2.878063098,44.6157,49.4067,378.3769,3.96702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,204,0.4278569364,211.3898517,
🇺🇸,doogile,0,0,8:43.409,8:44.369,22 Mar 2024,802,(U),3833476757322719608,,,https://www.youtube.com/watch?v=ReityME0-V4,8,44,369,524369,,,410359,1.2778299,421494,1.244072276,-0.0005,0.6697,2.406159223,39.5944,59.1271,377.5798,3.97275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,802,0,0,
🇳🇴,skycrab1,0,0,8:43.341,8:44.403,08 May 2024,755,(U),unknown,,,https://www.youtube.com/watch?v=KxM7quLW_a0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=19,8,44,403,524403,,,410359,1.277912754,421494,1.244152942,-0.0005,0.6856,2.407206144,40.5203,59.1043,377.2885,3.97485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,755,0,0,
🇨🇦,Aquacorde,0,0,8:44.345,8:44.570,08 Jul 2025,329,(U),-1775700207608873533,,,https://www.youtube.com/watch?v=oEQpaV4i5Xo,8,44,570,524570,,,410359,1.278319715,410359,1.278319715,-0.0005,0.8483,2.888986507,41.7329,49.1949,375.8580,3.98517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,329,0.02840673824,13.97466257,
🇺🇸,Infume,0,0,8:44.686,8:44.686,21 May 2025,377,(U),unknown,,,https://www.youtube.com/watch?v=sLVc8CxP9NU,8,44,686,524686,,,410359,1.278602394,421494,1.244824363,-0.0005,0.8282,2.415936036,48.7933,58.9149,374.8649,3.99235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
