flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),depracated,link,minutes,seconds,milliseconds,total_milliseconds,total_seconds,rounding,current_wr,normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_dropped,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<400,400-1000,1000-1500,1500-2000,200+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type,bastion_route,chests_checked,depracated,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,timeloss 
🇫🇮,AndrewCrow,0,1,8:19.952,8:21.407,19 Oct 2025,195,(V),4078753902684247139,,,https://www.speedrun.com/mc/runs/yw580r9y,8,21,407,501407,501,0,410359,1.221874018,410359,1.221874018,-0.0019,0.6904,4,309.7335,652.1769,652.1769,2.13308,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:22.065,8:22.065,06 Mar 2026,57,(U),unknown,,,https://www.youtube.com/watch?v=WR8_NH2aZTo&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=171,8,22,65,502065,502,0,410359,1.223477492,410359,1.223477492,-0.0019,0.8974,4,400.4811,647.9002,647.9002,2.15183,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇪,jason_n,0,0,8:22.273,8:22.273,02 Feb 2026,89,(U),7995908203394493910,,,https://www.youtube.com/watch?v=JHDFp57LuTQ,8,22,273,502273,502,0,410359,1.223984365,410359,1.223984365,-0.0019,0.8444,4,376.2334,646.5440,646.5440,2.15779,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:22.292,8:22.292,10 Dec 2024,508,(U),7706444672099891654,,,https://www.youtube.com/watch?v=VKGDkYwS24I&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=101,8,22,292,502292,502,0,410359,1.224030666,421494,1.191694306,-0.0019,0.3809,4,188.8685,684.8740,646.4200,2.15834,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,Cube1337x,0,1,8:23.352,8:23.352,29 Feb 2024,793,(V),5421616656737029560,,,https://www.speedrun.com/mc/runs/yvl3g1ez,8,23,352,503352,503,0,410359,1.22661377,421494,1.19420917,-0.0019,0.2216,4,108.9750,678.0724,639.4761,2.18893,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
,lowkey,0,1,8:22.028,8:23.880,22 May 2023,1076,(V),9002087332504975257,,Yes,https://www.youtube.com/watch?v=jFKZ4TUPdmo,8,23,880,503880,504,1,410359,1.227900448,465828,1.081686803,-0.0019,0.1295,4,94.5632,841.0644,635.9980,2.20432,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:24.266,8:24.266,25 Jan 2025,462,(U),-2192530939169664687,,,https://www.youtube.com/watch?v=G-ri7QuIsdY&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=110,8,24,266,504266,504,0,410359,1.228841088,421494,1.196377647,-0.0019,0.4157,4,202.9099,672.1598,633.4472,2.21563,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,0,8:26.738,8:26.738,24 Nov 2025,159,(U),unknown,,,https://www.youtube.com/watch?v=fEau7iO9TJQ&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=8,8,26,738,506738,507,1,410359,1.234865082,410359,1.234865082,-0.0019,0.7393,4,317.9227,616.9569,616.9569,2.28931,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,Zylenox,0,0,8:24.513,8:26.865,22 Apr 2023,1106,(U),2931282686903167782,12,Yes,https://www.youtube.com/watch?v=MBJI6KWkH2Q,8,26,865,506865,507,1,410359,1.235174567,465828,1.088094747,-0.0019,0.1223,4,87.2382,823.9820,616.1027,2.29315,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,1,8:26.957,8:26.957,07 May 2024,725,(V),608766675105077046,,,https://www.speedrun.com/mc/runs/y22k556y,8,26,957,506957,507,1,410359,1.235398761,421494,1.20276208,-0.0019,0.2522,4,120.5148,654.5040,615.4835,2.29594,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,Zylenox,0,1,8:25.432,8:27.473,17 Dec 2022,1232,(V),-4934318869749955,12,Yes,https://www.speedrun.com/mc/run/yln0kekz,8,27,473,507473,507,0,410359,1.236656196,495537,1.024087001,-0.0019,0.0963,4,87.5097,946.4660,612.0041,2.31163,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,meebie,0,0,8:27.708,8:28.050,19 Apr 2024,743,(U),-2948925549180981634,,,https://www.youtube.com/watch?v=bnxMyi5w0lE&list=PLaTJSsRuu2Ufk7cX7bUTt9V-IJxa8wqSM&index=13,8,28,50,508050,508,0,410359,1.238062282,421494,1.205355236,-0.0019,0.2437,4,115.4639,647.2307,608.1006,2.32929,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:27.992,8:28.114,07 Feb 2026,84,(U),unknown,,,https://www.youtube.com/watch?v=h2JcBageD9o&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=165,8,28,114,508114,508,0,410359,1.238218243,410359,1.238218243,-0.0019,0.8525,4,362.6585,607.6668,607.6668,2.33126,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,8:28.191,8:28.191,21 Sep 2025,223,(U),-1431734441306868324,,,https://www.youtube.com/watch?v=Sr-fxjtImKM,8,28,191,508191,508,0,410359,1.238405884,410359,1.238405884,-0.0019,0.6546,4,278.3155,607.1447,607.1447,2.33363,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:27.909,8:28.430,05 Dec 2025,148,(U),see video,,,https://www.youtube.com/watch?v=whjGQXRNxTo&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=150,8,28,430,508430,508,0,410359,1.2389883,410359,1.2389883,-0.0019,0.7549,4,320.3373,605.5226,605.5226,2.34099,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,8:28.441,8:28.441,16 Oct 2025,198,(U),7318195485466118347,,,https://www.youtube.com/watch?v=RrhnX7u9LCk,8,28,441,508441,508,0,410359,1.239015106,410359,1.239015106,-0.0019,0.6865,4,291.2809,605.4479,605.4479,2.34133,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:28.504,8:28.504,25 May 2025,342,(U),4268670771735988776,,,https://www.youtube.com/watch?v=CTzti8oVBRg&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=126,8,28,504,508504,509,1,410359,1.23916863,421494,1.206432357,-0.0019,0.5222,4,246.4811,644.1929,605.0199,2.34328,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,AndrewCrow,0,1,8:27.109,8:28.982,12 Jun 2025,324,(V),-4964328459581115875,,,https://www.speedrun.com/mc/runs/y6j9rnjm,8,28,982,508982,509,1,410359,1.240333464,410359,1.240333464,-0.0019,0.5403,4,228.2940,601.7677,601.7677,2.35808,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,sadekeppi,0,1,8:29.360,8:29.360,18 Jan 2025,469,(V),-3537755011442785569,,,https://www.speedrun.com/mc/runs/y4j787qy,8,29,360,509360,509,0,410359,1.241254609,421494,1.208463228,-0.0019,0.4102,4,192.3386,638.4392,599.1897,2.36984,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇬🇧,priffie,0,0,8:26.220,8:29.674,06 Jan 2024,847,(U),2398058020999821172,12,Yes,https://www.youtube.com/watch?v=sPSq_jhIyhY,8,29,674,509674,510,1,410359,1.242019792,421494,1.209208198,-0.0019,0.2000,4,93.5590,636.3201,597.0440,2.37966,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:27.951,8:29.783,18 May 2024,714,(U),2517517963886160862,,,https://www.youtube.com/watch?v=Hd2X1E-Ms7c&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=24,8,29,783,509783,510,1,410359,1.242285414,421494,1.209466801,-0.0019,0.2575,4,120.3539,635.5835,596.2983,2.38307,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:29.901,8:29.901,06 Mar 2026,57,(U),unknown,,,https://www.youtube.com/watch?v=HUVPQIRwcK0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=170,8,29,901,509901,510,1,410359,1.242572967,410359,1.242572967,-0.0019,0.8974,4,376.4249,595.4906,595.4906,2.38677,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,AndrewCrow,0,0,8:28.900,8:29.924,25 Jan 2026,97,(U),unknown,,,https://www.youtube.com/watch?v=p-jx69uoxuQ,8,29,924,509924,510,1,410359,1.242629015,410359,1.242629015,-0.0019,0.8317,4,348.8137,595.3331,595.3331,2.38750,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇦,7rowl,0,0,8:31.022,8:31.022,29 Aug 2023,977,(U),-849877744345333161,,,https://www.youtube.com/watch?v=rao2ee_878E,8,31,22,511022,511,0,410359,1.245304721,465828,1.097018642,-0.0019,0.1562,4,107.8855,799.0863,587.7917,2.42220,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:30.987,8:31.085,08 Dec 2025,145,(U),unknown,,,https://www.youtube.com/watch?v=tLfXiUo2Dw0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=157,8,31,85,511085,511,0,410359,1.245458245,410359,1.245458245,-0.0019,0.7592,4,315.5260,587.3577,587.3577,2.42420,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:28.790,8:31.168,21 Oct 2025,193,(U),see video,,,https://www.youtube.com/watch?v=gGs-3BbCEWA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=144,8,31,168,511168,511,0,410359,1.245660507,410359,1.245660507,-0.0019,0.6930,4,287.8362,586.7857,586.7857,2.42685,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,0,8:31.156,8:31.904,27 Jan 2024,826,(U),-4987550100545669891,,,https://www.youtube.com/watch?v=K9wU6ilEDcc,8,31,904,511904,512,1,410359,1.247454059,421494,1.214498902,-0.0019,0.2082,4,95.6819,621.1453,581.7030,2.45040,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇰,NoFear1337,0,0,8:32.422,8:32.422,14 Jul 2024,657,(U),unknown,,,https://www.youtube.com/watch?v=yw7-yaW4Nfk&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=21,8,32,422,512422,512,0,410359,1.248716368,421494,1.215727863,-0.0019,0.2870,4,131.3786,617.5899,578.1149,2.46710,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,8:32.755,8:32.755,08 Jul 2025,298,(U),4813852831291424591,,,https://www.youtube.com/watch?v=9t2wFDDYuWw,8,32,755,512755,513,1,410359,1.249527852,410359,1.249527852,-0.0019,0.5677,4,232.8728,575.8035,575.8035,2.47789,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇦,7rowl,0,0,8:30.604,8:32.840,28 Aug 2023,978,(U),-3689619904496856440,,,https://www.youtube.com/watch?v=fDjrOqatTAs,8,32,840,512840,513,1,410359,1.249734988,465828,1.10092137,-0.0019,0.1560,4,106.1619,787.8023,575.2129,2.48065,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:33.231,8:33.231,23 May 2025,344,(U),4058006226311107449,,,https://www.youtube.com/watch?v=Gqyss7R7ZB0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=125,8,33,231,513231,513,0,410359,1.250687812,421494,1.217647226,-0.0019,0.5202,4,236.6242,612.0150,572.4933,2.49338,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,1,8:31.860,8:33.243,12 Jan 2024,841,(V),8794223043069861926,,,https://www.speedrun.com/mc/runs/zxw0jlqm,8,33,243,513243,513,0,410359,1.250717055,421494,1.217675696,-0.0019,0.2023,4,92.0268,611.9321,572.4098,2.49378,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,meebie,0,0,8:33.573,8:33.573,04 Dec 2023,880,(U),unknown,,,https://www.youtube.com/watch?v=tPDjceeZd7w&list=PLaTJSsRuu2Ufk7cX7bUTt9V-IJxa8wqSM&index=8,8,33,573,513573,514,1,410359,1.251521229,465828,1.102494912,-0.0019,0.1879,4,127.1608,783.1858,570.1106,2.50457,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,1,8:33.639,8:33.639,16 Aug 2024,624,(V),-8818959532856191300,,,https://www.speedrun.com/mc/runs/m3jr41wz,8,33,639,513639,514,1,410359,1.251682064,421494,1.218615212,-0.0019,0.3056,4,138.5588,609.1935,569.6503,2.50673,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,kazzruns,0,0,8:33.801,8:33.801,28 Aug 2025,247,(U),unknown,,,https://www.youtube.com/watch?v=pXLKegNZ5CU,8,33,801,513801,514,1,410359,1.25207684,410359,1.25207684,-0.0019,0.6254,4,254.4847,568.5200,568.5200,2.51205,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,0,8:33.946,8:33.946,07 Jan 2025,480,(U),unknown,,,https://www.youtube.com/watch?v=pROA_8k_5eg&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=12,8,33,946,513946,514,1,410359,1.252430189,421494,1.219343573,-0.0019,0.4017,4,181.7268,607.0660,567.5077,2.51682,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇰,Bloopy,0,1,8:33.952,8:33.952,03 Aug 2024,637,(V),255624109612098462,,,https://www.speedrun.com/mc/runs/yvx9vo8z,8,33,952,513952,514,1,410359,1.252444811,421494,1.219357808,-0.0019,0.2981,4,134.8493,607.0244,567.4658,2.51702,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,watermelon1708,0,0,8:33.349,8:34.250,27 Nov 2025,156,(U),unknown,,,https://www.youtube.com/watch?v=3mEKAQ3Z4RM,8,34,250,514250,514,0,410359,1.253171004,410359,1.253171004,-0.0019,0.7435,4,301.4628,565.3832,565.3832,2.52685,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:34.391,8:34.391,14 Jun 2025,322,(U),unknown,,,https://www.youtube.com/watch?v=mbQO0iA60UA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=127,8,34,391,514391,514,0,410359,1.253514606,410359,1.253514606,-0.0019,0.5424,4,219.6752,564.3969,564.3969,2.53151,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇰,Bloopy,0,0,8:34.410,8:34.410,31 Oct 2025,183,(U),-6611883265830397474,,,https://www.youtube.com/watch?v=WJlhnd9qMjI,8,34,410,514410,514,0,410359,1.253560906,410359,1.253560906,-0.0019,0.7063,4,286.0316,564.2639,564.2639,2.53214,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,0,8:34.422,8:34.422,22 May 2025,345,(U),4475174620258750317,,,https://www.youtube.com/watch?v=rEmLQHlkBMs,8,34,422,514422,514,0,410359,1.253590149,421494,1.220472889,-0.0019,0.5192,4,233.9955,603.7602,564.1799,2.53253,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,0,8:31.615,8:34.469,03 Oct 2023,942,(U),2814215657097519375,,,https://www.youtube.com/watch?v=MruA0trsR5Y,8,34,469,514469,514,0,410359,1.253704683,465828,1.104418369,-0.0019,0.1670,4,112.2445,777.4912,563.8510,2.53409,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:34.709,8:34.709,13 Sep 2024,596,(U),-251105327808432283,,,https://www.youtube.com/watch?v=_Zw3t6qzR0A&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=69,8,34,709,514709,515,1,410359,1.254289537,421494,1.221153801,-0.0019,0.3223,4,144.9184,601.7628,562.1702,2.54205,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,meebie,0,0,8:34.971,8:34.971,16 Nov 2025,167,(U),unknown,,,https://www.youtube.com/watch?v=NwUTr6N_4P0&list=PLaTJSsRuu2Ufk7cX7bUTt9V-IJxa8wqSM&index=21,8,34,971,514971,515,1,410359,1.254928002,410359,1.254928002,-0.0019,0.7281,4,293.5777,560.3335,560.3335,2.55077,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇰,NoFear1337,0,0,8:35.097,8:35.579,27 Dec 2023,857,(U),unknown,,,https://www.youtube.com/watch?v=op6VlwDM3Xo&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C,8,35,579,515579,516,1,410359,1.256409632,446254,1.155348748,-0.0019,0.1963,4,110.1504,689.8567,556.0636,2.57109,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:34.852,8:35.797,03 Aug 2024,637,(U),-5772469146569821756,,,https://www.youtube.com/watch?v=b47aZUBK814&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=47,8,35,797,515797,516,1,410359,1.256940874,421494,1.223735095,-0.0019,0.2981,4,132.9302,594.1629,554.5301,2.57841,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:35.819,8:35.819,18 May 2025,349,(U),see video,,,https://www.youtube.com/watch?v=kDl3PmegjWA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=124,8,35,819,515819,516,1,410359,1.256994485,421494,1.22378729,-0.0019,0.5153,4,229.7183,594.0087,554.3753,2.57915,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,meebie,0,0,8:35.914,8:35.914,18 Nov 2023,896,(U),-2503873430617653818,,,https://www.youtube.com/watch?v=c2uu-GXtiIc&list=PLaTJSsRuu2Ufk7cX7bUTt9V-IJxa8wqSM&index=5,8,35,914,515914,516,1,410359,1.25722599,465828,1.107520372,-0.0019,0.1822,4,121.1296,768.1892,553.7066,2.58235,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,watermelon1708,0,0,8:34.398,8:35.950,10 Nov 2025,173,(U),see video,,,https://www.youtube.com/watch?v=fEy7nXScnGI,8,35,950,515950,516,1,410359,1.257313718,410359,1.257313718,-0.0019,0.7199,4,288.0533,553.4531,553.4531,2.58357,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇰,NoFear1337,0,0,8:31.037,8:35.967,25 Dec 2023,859,(U),4143928542736581557,16,Yes,https://www.youtube.com/watch?v=wOf3KZ159XE,8,35,967,515967,516,1,410359,1.257355145,446254,1.156218208,-0.0019,0.1955,4,109.4029,687.2210,553.3334,2.58414,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:36.102,8:36.102,29 Oct 2024,550,(U),-3646678682630251613,,,https://www.youtube.com/watch?v=okNmE6As3I8&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=90,8,36,102,516102,516,0,410359,1.257684125,421494,1.224458711,-0.0019,0.3517,4,156.4536,592.0246,552.3825,2.58869,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:34.986,8:36.447,30 May 2024,702,(U),5645148096058568914,,,https://www.youtube.com/watch?v=qmxUkDzqJLA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=25,8,36,447,516447,516,0,410359,1.258524853,421494,1.225277228,-0.0019,0.2635,4,116.8962,589.6019,549.9502,2.60036,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:35.909,8:36.678,13 Aug 2024,627,(U),-757577179228035098,,,https://www.youtube.com/watch?v=3jCFZ5mZbuw&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=53,8,36,678,516678,517,1,410359,1.259087774,421494,1.225825279,-0.0019,0.3038,4,134.5584,587.9774,548.3199,2.60820,,,,,,,,,,,,,,,,,,,,,,,,,30 Dec '99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
