flag,runner_name,is_wr,is_pb,in_game_time,re_timed_time,date,days_since,src_status,seed,instances(depracated),calc(depracated),link,minutes,seconds,milliseconds,total_milliseconds,retime_ms,retime,current_wr,cur_wr_normal_time,wr_at_time,normal_time,decay,weight,k,run_score,non_weighted_run_score,current_wr_run_score,dynamic_k,blank,iron_source,has_tnt,enter_type,enter_time,enter_structure1_split,structure_1_time,structure1_type,structure1_split,structure1_exit_time,structure1_structure2_split,structure2_time,structure2_type,structure_2_split,structure2_exit,blaze_rates_string,blaze_rods_collected,blazes_killed,blaze_rates_decimal,structure2_exit_exit1_split,rods_obtained_pre_exit1,num_exits,exit1_time,stronghold_travel_type,triangulation_split,eyes_thrown,eye_breaks,eyes_left,total_eye_loss,reenter_time,exit_2_split,stronghold_distance,<500,500-1000,1000-1500,1500-2000,2000+,exit_2_time,theoretical_blind,nether_split,total_nether,total_ow2,post_blind,structure2_finish_split,structure2_exit_stronghold_split,stronghold_time,portal_room_locator_type,stronghold_split,frames_filled,frames_needed,end_enter_time,end_type,explosives_used,rotations,zero_explosivies,perch_explosives,end_spawn_type,dragon_node,dragon_location,dragon_angle,tower_height,tower,standing_height,end_split,truncated_igt,bastion_type_2,bastion_route,chests_checked,depracated_bastion_info,bastion_enter_time,bastion_enter_route_start_split,route_start_time,route_split,total_bastion_split,bastion_exit_time,obsidian,string,glowstone,arrows,pearls,crying_obsidian,days_since_2,elo_weight,elo,timeloss 
🇳🇴,skycrab1,0,0,8:27.992,8:28.114,07 Feb 2026,150,(U),unknown,,,https://www.youtube.com/watch?v=h2JcBageD9o&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=165,8,28,114,508114,122,0.122,507992,1.238218243,410359,1.238218243,,0.9277,2.331261093,56.3759,60.7667,518.1227,3.07733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,8:28.191,8:28.191,21 Sep 2025,289,(U),-1431734441306868324,,,https://www.youtube.com/watch?v=Sr-fxjtImKM,8,28,191,508191,0,0,508191,1.238405884,410359,1.238405884,,0.8655,2.333629059,52.5456,60.7145,517.4639,3.08110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,8:28.262,8:28.262,03 Mar 2026,126,(U),unknown,,,https://www.youtube.com/watch?v=C1NRbd2o8VY&list=PL7aObukeMJOzC12YUkw7rFbzP2BzIhpXp&index=3,8,28,262,508262,0,0,508262,1.238578903,410359,1.238578903,,0.9389,2.335814416,56.9622,60.6663,516.8563,3.08458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:27.909,8:28.430,05 Dec 2025,214,(U),see video,,,https://www.youtube.com/watch?v=whjGQXRNxTo&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=150,8,28,430,508430,521,0.521,507909,1.2389883,410359,1.2389883,,0.8985,2.340992703,54.4078,60.5523,515.4179,3.09282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,8:28.441,8:28.441,16 Oct 2025,264,(U),7318195485466118347,,,https://www.youtube.com/watch?v=RrhnX7u9LCk,8,28,441,508441,0,0,508441,1.239015106,410359,1.239015106,,0.8763,2.341332116,53.0579,60.5448,515.3237,3.09336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:28.504,8:28.504,25 May 2025,408,(U),4268670771735988776,,,https://www.youtube.com/watch?v=CTzti8oVBRg&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=126,8,28,504,508504,0,0,508504,1.23916863,421494,1.206432357,,0.8155,1.959905341,56.4502,69.2248,514.7841,3.09646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇭🇺,fe666,0,1,8:27.472,8:28.669,04 Jun 2025,398,(V),6672725285728588092,,,https://www.speedrun.com/mc/runs/y8gv7gxz,8,28,669,508669,1197,1.197,507472,1.239570717,421494,1.206823822,,0.8195,1.964133986,56.6521,69.1259,513.3702,3.10459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,AndrewCrow,0,1,8:27.109,8:28.982,12 Jun 2025,390,(V),-4964328459581115875,,,https://www.speedrun.com/mc/runs/y6j9rnjm,8,28,982,508982,1873,1.873,507109,1.240333464,410359,1.240333464,,0.8228,2.358079521,49.5155,60.1768,510.6861,3.12006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇹🇷,Ancoboy,0,1,8:25.439,8:29.247,22 Jun 2025,380,(V),2421657628675046534,,,https://www.speedrun.com/mc/runs/yljr5nxm,8,29,247,509247,3808,3.808,505439,1.24097924,410359,1.24097924,,0.8270,2.366322024,49.6143,59.9961,508.4114,3.13322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,sadekeppi,0,1,8:29.360,8:29.360,18 Jan 2025,535,(V),-3537755011442785569,,,https://www.speedrun.com/mc/runs/y4j787qy,8,29,360,509360,0,0,509360,1.241254609,421494,1.208463228,,0.7653,1.981932684,52.5830,68.7098,507.4409,3.13884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇬🇧,priffie,0,0,8:26.220,8:29.674,06 Jan 2024,913,(U),2398058020999821172,12,Yes,https://www.youtube.com/watch?v=sPSq_jhIyhY,8,29,674,509674,3454,3.454,506220,1.242019792,421494,1.209208198,,0.6335,1.99006867,43.4072,68.5200,504.7422,3.15452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:27.951,8:29.783,18 May 2024,780,(U),2517517963886160862,,,https://www.youtube.com/watch?v=Hd2X1E-Ms7c&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=24,8,29,783,509783,1832,1.832,507951,1.242285414,421494,1.209466801,,0.6771,1.992899986,46.3472,68.4540,503.8048,3.15998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:29.901,8:29.901,06 Mar 2026,123,(U),unknown,,,https://www.youtube.com/watch?v=HUVPQIRwcK0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=170,8,29,901,509901,0,0,509901,1.242572967,410359,1.242572967,,0.9404,2.386774341,55.9971,59.5491,502.7897,3.16590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇫🇮,AndrewCrow,0,0,8:28.900,8:29.924,25 Jan 2026,163,(U),unknown,,,https://www.youtube.com/watch?v=p-jx69uoxuQ,8,29,924,509924,1024,1.024,508900,1.242629015,410359,1.242629015,,0.9217,2.387496482,54.8738,59.5333,502.5918,3.16705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,21MashedPotatoes,0,1,8:28.630,8:30.606,18 Mar 2025,476,(V),-1787025825846103322,,,https://www.speedrun.com/mc/runs/zn9gdp9y,8,30,606,510606,1976,1.976,508630,1.244290974,421494,1.21141938,,0.7882,2.014395317,53.5611,67.9535,496.7178,3.20148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇮🇹,Tiger,0,1,8:30.448,8:30.666,17 Nov 2025,232,(V),6903870760878118513,,,https://www.speedrun.com/mc/runs/zn50x99z,8,30,666,510666,218,0.218,510448,1.244437188,410359,1.244437188,,0.8905,2.410898496,52.5595,59.0242,496.2005,3.20452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇭🇷,Mar1n,0,0,8:30.935,8:30.935,17 Jun 2025,385,(U),-3500450800867252956,,,https://www.youtube.com/watch?v=lZDZTHVOkJs,8,30,935,510935,0,0,510935,1.245092712,410359,1.245092712,,0.8249,2.419433046,48.5360,58.8391,493.8804,3.21820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇦,7rowl,0,0,8:31.022,8:31.022,29 Aug 2023,1043,(U),-849877744345333161,,,https://www.youtube.com/watch?v=rao2ee_878E,8,31,22,511022,0,0,511022,1.245304721,465828,1.097018642,,0.5936,1.056022379,53.8330,90.6845,493.1297,3.22264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,0,8:31.022,8:31.022,11 Dec 2025,208,(U),5299065848782546350,,,https://www.youtube.com/watch?v=wQtm-GDFqBc&list=PLjW0OIc7zcEcqLcQwe9V6NfJUy0AUDomQ&index=7,8,31,22,511022,0,0,511022,1.245304721,410359,1.245304721,,0.9012,2.422199066,52.9733,58.7792,493.1297,3.22264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:30.987,8:31.085,08 Dec 2025,211,(U),unknown,,,https://www.youtube.com/watch?v=tLfXiUo2Dw0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=157,8,31,85,511085,98,0.098,510987,1.245458245,410359,1.245458245,,0.8999,2.42420381,52.8548,58.7358,492.5860,3.22585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:28.790,8:31.168,21 Oct 2025,259,(U),see video,,,https://www.youtube.com/watch?v=gGs-3BbCEWA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=144,8,31,168,511168,2378,2.378,508790,1.245660507,410359,1.245660507,,0.8785,2.426847246,51.5512,58.6786,491.8696,3.23009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,0,8:31.428,8:31.428,26 Jan 2026,162,(U),-8578498424150323071,,,https://www.youtube.com/watch?v=GUFzoqNHpYY&list=PLjW0OIc7zcEcqLcQwe9V6NfJUy0AUDomQ&index=6,8,31,428,511428,0,0,511428,1.246294099,410359,1.246294099,,0.9222,2.435144576,53.9476,58.4992,489.6244,3.24341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇪,PAPLERR,0,1,8:31.563,8:31.563,21 Apr 2024,807,(U),-4057584252523426618,,,https://www.youtube.com/watch?v=R4sJqvz0TX4,8,31,563,511563,0,0,511563,1.246623079,421494,1.213689875,,0.6680,2.039653283,44.9999,67.3673,488.4581,3.25035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,0,8:31.156,8:31.904,27 Jan 2024,892,(U),-4987550100545669891,,,https://www.youtube.com/watch?v=K9wU6ilEDcc,8,31,904,511904,748,0.748,511156,1.247454059,421494,1.214498902,,0.6402,2.048722003,42.9931,67.1574,485.5107,3.26793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇪,ANJOUU,0,0,8:32.254,8:32.388,16 Apr 2025,447,(U),unknown,,,https://www.youtube.com/watch?v=oTPuKYdcTac,8,32,388,512388,134,0.134,512254,1.248633514,421494,1.215647198,,0.7997,2.061656121,53.4677,66.8584,481.3238,3.29302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇰,NoFear1337,0,0,8:32.422,8:32.422,14 Jul 2024,723,(U),unknown,,,https://www.youtube.com/watch?v=yw7-yaW4Nfk&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C&index=21,8,32,422,512422,0,0,512422,1.248716368,421494,1.215727863,,0.6966,2.062567475,46.5609,66.8374,481.0295,3.29479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇹🇿,Kxpow,0,0,8:32.528,8:32.704,14 Apr 2025,449,(U),-7350225453272074548,,,https://www.youtube.com/watch?v=pNjykng4Vlo,8,32,704,512704,176,0.176,512528,1.249403571,421494,1.216396912,,0.7989,2.070140355,53.2578,66.6626,478.5881,3.30950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,0,8:32.755,8:32.755,08 Jul 2025,364,(U),4813852831291424591,,,https://www.youtube.com/watch?v=9t2wFDDYuWw,8,32,755,512755,0,0,512755,1.249527852,410359,1.249527852,,0.8336,2.47788908,47.9991,57.5803,478.1464,3.31217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇦,7rowl,0,0,8:30.604,8:32.840,28 Aug 2023,1044,(U),-3689619904496856440,,,https://www.youtube.com/watch?v=fDjrOqatTAs,8,32,840,512840,2236,2.236,510604,1.249734988,465828,1.10092137,,0.5933,1.080085847,53.4808,90.1363,477.4103,3.31662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇷🇺,aleen,0,1,8:31.570,8:33.119,20 Jun 2025,382,(V),5001642787122467207,,,https://www.speedrun.com/mc/runs/y9ell6nz,8,33,119,513119,1549,1.549,511570,1.250414881,410359,1.250414881,,0.8261,2.489730564,47.3599,57.3273,474.9932,3.33126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:33.231,8:33.231,23 May 2025,410,(U),4058006226311107449,,,https://www.youtube.com/watch?v=Gqyss7R7ZB0&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=125,8,33,231,513231,0,0,513231,1.250687812,421494,1.217647226,,0.8146,2.084359666,54.0396,66.3350,474.0226,3.33715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,1,8:31.860,8:33.243,12 Jan 2024,907,(V),8794223043069861926,,,https://www.speedrun.com/mc/runs/zxw0jlqm,8,33,243,513243,1383,1.383,511860,1.250717055,421494,1.217675696,,0.6354,2.084684467,42.1445,66.3275,473.9186,3.33779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,0,8:33.474,8:33.474,30 Jan 2026,158,(U),3992068236416817288,,,https://www.youtube.com/watch?v=QdzeaYNQyw8&list=PLjW0OIc7zcEcqLcQwe9V6NfJUy0AUDomQ&index=5,8,33,474,513474,0,0,513474,1.251279977,410359,1.251279977,,0.9240,2.501327913,52.7443,57.0801,471.9162,3.34998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,meebie,0,0,8:33.573,8:33.573,04 Dec 2023,946,(U),unknown,,,https://www.youtube.com/watch?v=tPDjceeZd7w&list=PLaTJSsRuu2Ufk7cX7bUTt9V-IJxa8wqSM&index=8,8,33,573,513573,0,0,513573,1.251521229,465828,1.102494912,,0.6231,1.089933821,56.0262,89.9109,471.0578,3.35521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Aquacorde,0,1,8:33.639,8:33.639,16 Aug 2024,690,(V),-8818959532856191300,,,https://www.speedrun.com/mc/runs/m3jr41wz,8,33,639,513639,0,0,513639,1.251682064,421494,1.218615212,,0.7082,2.095428493,46.7995,66.0804,470.4855,3.35871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,kazzruns,0,0,8:33.801,8:33.801,28 Aug 2025,313,(U),unknown,,,https://www.youtube.com/watch?v=pXLKegNZ5CU,8,33,801,513801,0,0,513801,1.25207684,410359,1.25207684,,0.8551,2.512053192,48.6159,56.8520,469.0805,3.36730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇨🇦,Jay12310,0,0,8:33.946,8:33.946,07 Jan 2025,546,(U),unknown,,,https://www.youtube.com/watch?v=pROA_8k_5eg&list=PLaTJSsRuu2UcsiC6KEkJwrGp1GaGgPoVG&index=12,8,33,946,513946,0,0,513946,1.252430189,421494,1.219343573,,0.7611,2.103792096,50.1471,65.8883,467.8228,3.37500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇰,Bloopy,0,1,8:33.952,8:33.952,03 Aug 2024,703,(V),255624109612098462,,,https://www.speedrun.com/mc/runs/yvx9vo8z,8,33,952,513952,0,0,513952,1.252444811,421494,1.219357808,,0.7036,2.103955853,46.3585,65.8846,467.7707,3.37532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇹🇿,Kxpow,0,0,8:33.650,8:34.025,07 Apr 2025,456,(U),6819794187957055616,,,https://www.youtube.com/watch?v=GgUTA6ioiaY,8,34,25,514025,375,0.375,513650,1.252622704,421494,1.219531002,,0.7961,2.105949147,52.4159,65.8389,467.1374,3.37921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇹🇿,Kxpow,0,0,8:34.869,8:34.122,09 Jun 2024,758,(U),2173195834724120179,,,https://www.youtube.com/watch?v=Kk_U2QpN_NU,8,34,122,514122,-747,-0.747,514869,1.252859082,421494,1.219761135,,0.6845,2.108600401,45.0281,65.7780,466.2958,3.38438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇵🇱,watermelon1708,0,0,8:33.349,8:34.250,27 Nov 2025,222,(U),unknown,,,https://www.youtube.com/watch?v=3mEKAQ3Z4RM,8,34,250,514250,901,0.901,513349,1.253171004,410359,1.253171004,,0.8949,2.526846832,50.5983,56.5383,465.1851,3.39122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇿🇦,Airpodsz,0,1,8:33.349,8:34.302,02 May 2025,431,(V),-1155336759388266365,,,https://www.speedrun.com/mc/runs/zpo0j7vm,8,34,302,514302,953,0.953,513349,1.253297722,421494,1.220188188,,0.8061,2.113528213,52.9351,65.6651,464.7339,3.39400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:34.391,8:34.391,14 Jun 2025,388,(U),unknown,,,https://www.youtube.com/watch?v=mbQO0iA60UA&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=127,8,34,391,514391,0,0,514391,1.253514606,410359,1.253514606,,0.8237,2.531508512,46.4870,56.4397,463.9615,3.39876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇩🇰,Bloopy,0,0,8:34.410,8:34.410,31 Oct 2025,249,(U),-6611883265830397474,,,https://www.youtube.com/watch?v=WJlhnd9qMjI,8,34,410,514410,0,0,514410,1.253560906,410359,1.253560906,,0.8829,2.532137268,49.8210,56.4264,463.7966,3.39978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,0,8:34.422,8:34.422,22 May 2025,411,(U),4475174620258750317,,,https://www.youtube.com/watch?v=rEmLQHlkBMs,8,34,422,514422,0,0,514422,1.253590149,421494,1.220472889,,0.8142,2.116819174,53.4058,65.5897,463.6924,3.40042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,doogile,0,0,8:31.615,8:34.469,03 Oct 2023,1008,(U),2814215657097519375,,,https://www.youtube.com/watch?v=MruA0trsR5Y,8,34,469,514469,2854,2.854,511615,1.253704683,465828,1.104418369,,0.6041,1.102086828,54.1475,89.6320,463.2845,3.40294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,Infume,0,0,8:34.629,8:34.629,08 Jul 2025,364,(U),unknown,,,https://www.youtube.com/watch?v=YAmH6pcDVA4,8,34,629,514629,0,0,514629,1.254094585,410359,1.254094585,,0.8336,2.539394576,46.9093,56.2731,461.8956,3.41152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:34.709,8:34.709,13 Sep 2024,662,(U),-251105327808432283,,,https://www.youtube.com/watch?v=_Zw3t6qzR0A&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=69,8,34,709,514709,0,0,514709,1.254289537,421494,1.221153801,,0.7182,2.124708762,46.9772,65.4091,461.2011,3.41583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸,meebie,0,0,8:34.971,8:34.971,16 Nov 2025,233,(U),unknown,,,https://www.youtube.com/watch?v=NwUTr6N_4P0&list=PLaTJSsRuu2Ufk7cX7bUTt9V-IJxa8wqSM&index=21,8,34,971,514971,0,0,514971,1.254928002,410359,1.254928002,,0.8900,2.550765032,49.8714,56.0333,458.9262,3.42995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇹🇿,Kxpow,0,0,8:33.988,8:34.984,16 Jul 2024,721,(U),-1283922549785337759,,,https://www.youtube.com/watch?v=5AKtYY2dEFM,8,34,984,514984,996,0.996,513988,1.254959682,421494,1.221806242,,0.6973,2.132293275,45.4907,65.2357,458.8134,3.43065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇹🇿,Kxpow,0,0,8:34.236,8:34.986,09 Mar 2025,485,(U),1402888148426280669,,,https://www.youtube.com/watch?v=BSu7lGN61-M,8,34,986,514986,750,0.75,514236,1.254964555,421494,1.221810987,,0.7847,2.132348525,51.1871,65.2345,458.7960,3.43076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇬🇧,priffie,0,0,8:35.290,8:35.290,27 Oct 2024,618,(U),-4673564062193261365,,,https://www.youtube.com/watch?v=lzn3oArZTrQ,8,35,290,515290,0,0,515290,1.25570537,421494,1.222532231,,0.7342,2.140761383,47.7529,65.0424,456.1559,3.44721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇸🇰,NoFear1337,0,0,8:35.097,8:35.579,27 Dec 2023,923,(U),unknown,,,https://www.youtube.com/watch?v=op6VlwDM3Xo&list=PLaTJSsRuu2UeeWabBBfNVWALvnefBoL2C,8,35,579,515579,482,0.482,515097,1.256409632,446254,1.155348748,,0.6303,1.473920772,50.9494,80.8287,453.6457,3.46292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇳🇴,skycrab1,0,0,8:34.852,8:35.797,03 Aug 2024,703,(U),-5772469146569821756,,,https://www.youtube.com/watch?v=b47aZUBK814&list=PLU3_fvoJ1GyMStiA29z37DUPtG47PvOJz&index=47,8,35,797,515797,945,0.945,514852,1.256940874,421494,1.223735095,,0.7036,2.154858446,45.5398,64.7211,451.7519,3.47481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
